"ID (do not edit)","Where it appears","TEXT — edit this column","Notes"
"ch2.A.text","CHAPTER 2 — the story itself","Look around the bed.",""
"ch2.A.say","CHAPTER 2 — the story itself","You lean over the edge and look down into the dark. It is looking back, and it has been for a while.",""
"ch2.A.teach","CHAPTER 2 — the story itself","Awareness can reveal more, but investigation without preparation has a cost.",""
"ch2.B.text","CHAPTER 2 — the story itself","Call for your mother.",""
"ch2.B.say","CHAPTER 2 — the story itself","You shout. Nothing. Then a door, and slippers shuffles in, and the light.",""
"ch2.B.teach","CHAPTER 2 — the story itself","Seeking help is not weakness. Knowing your limits is part of wisdom.",""
"ch2.C.text","CHAPTER 2 — the story itself","Get out of the room.",""
"ch2.C.say","CHAPTER 2 — the story itself","You decide to head out. At the door you look back, and the room looks ordinary.",""
"ch2.C.teach","CHAPTER 2 — the story itself","Creating distance can reduce exposure even if it does not solve the cause.",""
"ch2.D.text","CHAPTER 2 — the story itself","Stay silent and do not move.",""
"ch2.D.say","CHAPTER 2 — the story itself","You lie still and count the fan going round. Beside your head, the mattress takes someone’s weight.",""
"ch2.D.teach","CHAPTER 2 — the story itself","Stillness may prevent escalation, but enduring fear is not the same as solving the problem.",""
"e2c2.title","EPISODE 2 · CHAPTER 2 — the story itself","Nobody There",""
"e2c2.cardLabel","EPISODE 2 · CHAPTER 2 — the story itself","Chapter 2",""
"e2c2.cardTitle","EPISODE 2 · CHAPTER 2 — the story itself","Nobody There",""
"e2c2.brief","EPISODE 2 · CHAPTER 2 — the story itself","Night after night, at three in the morning, the shower beside bed one turns itself on. This morning you have decided to say something. Ask three bunkmates what they heard. Then tell the encik.",""
"e2c2.prompt","EPISODE 2 · CHAPTER 2 — the story itself","The encik is watching the recruits eat. You have asked three men. Now you are standing in front of him. What do you say?",""
"e2c2.core","EPISODE 2 · CHAPTER 2 — the story itself","""Haunted, I'm sure"" and ""it was nothing"" are the same grip on opposite sides. ""Something happened, I don't know what"" is the mind held open until it has enough.<br><i>Diṭṭhupādāna — clinging to a view. Either certainty stops you looking.</i>",""
"e2c2.words.approach","EPISODE 2 · CHAPTER 2 — the story itself","",""
"e2c2.words.act","EPISODE 2 · CHAPTER 2 — the story itself","E to speak to the encik",""
"e2c2.words.actTouch","EPISODE 2 · CHAPTER 2 — the story itself","Tap to speak to the encik",""
"e2c2.words.interact","EPISODE 2 · CHAPTER 2 — the story itself","E to speak to the encik",""
"e2c2.words.interactTouch","EPISODE 2 · CHAPTER 2 — the story itself","Tap to speak to the encik",""
"e2c2.words.presence","EPISODE 2 · CHAPTER 2 — the story itself","Something followed you here.",""
"e2c2.words.objAsk","EPISODE 2 · CHAPTER 2 — the story itself","Ask three bunkmates what they heard · {n}/3",""
"e2c2.words.objEncik","EPISODE 2 · CHAPTER 2 — the story itself","Tell the encik",""
"e2c2.words.hotBunkmate","EPISODE 2 · CHAPTER 2 — the story itself","Ask your bunkmate",""
"e2c2.words.hotRecruit","EPISODE 2 · CHAPTER 2 — the story itself","Ask him",""
"e2c2.words.hotRecruit2","EPISODE 2 · CHAPTER 2 — the story itself","Ask the recruit beside him",""
"e2c2.A.text","EPISODE 2 · CHAPTER 2 — the story itself","""Encik, something happened. I don't know what.""",""
"e2c2.A.say","EPISODE 2 · CHAPTER 2 — the story itself","I told him what I knew, and only that. He didn't laugh.",""
"e2c2.A.teach","EPISODE 2 · CHAPTER 2 — the story itself","Document before interpreting. Wisdom can include: I don't know yet.",""
"e2c2.B.text","EPISODE 2 · CHAPTER 2 — the story itself","""Encik, the bunk is haunted. I'm sure.""",""
"e2c2.B.say","EPISODE 2 · CHAPTER 2 — the story itself","I said I was sure. I wasn't. Now nobody will listen.",""
"e2c2.B.teach","EPISODE 2 · CHAPTER 2 — the story itself","Confirmation bias can make ordinary events feel like proof.",""
"e2c2.C.text","EPISODE 2 · CHAPTER 2 — the story itself","""Never mind encik, I think I was just tired.""",""
"e2c2.C.say","EPISODE 2 · CHAPTER 2 — the story itself","I called it nothing. It wasn't nothing. Three a.m. knew that.",""
"e2c2.C.teach","EPISODE 2 · CHAPTER 2 — the story itself","Scepticism is not the same as dismissal.",""
"e2c2.D.text","EPISODE 2 · CHAPTER 2 — the story itself","""Encik, what do you think it is?""",""
"e2c2.D.say","EPISODE 2 · CHAPTER 2 — the story itself","He gave me three answers and one rule. The rule was the answer.",""
"e2c2.D.teach","EPISODE 2 · CHAPTER 2 — the story itself","Good guidance expands your thinking; it does not replace your judgement.",""
"ch3.title","CHAPTER 3 — the story itself","The Gathering",""
"ch3.cardLabel","CHAPTER 3 — the story itself","Chapter 3",""
"ch3.cardTitle","CHAPTER 3 — the story itself","The Gathering<br>Nobody Else Turned Round",""
"ch3.brief","CHAPTER 3 — the story itself","The tentage has been up all week in the car park under his block. This morning there is a drum, a crowd on red plastic chairs, and a man at the altar who has stopped being himself. Everyone is watching the front. Nobody is watching row four.",""
"ch3.prompt","CHAPTER 3 — the story itself","The medium has gone into trance at the altar. What do you do?",""
"ch3.core","CHAPTER 3 — the story itself","Some things lie beyond understanding. Keep an open mind, and observe before you judge.",""
"ch3.words.approach","CHAPTER 3 — the story itself","The whole tent is watching the front...",""
"ch3.words.act","CHAPTER 3 — the story itself","E to act",""
"ch3.words.actTouch","CHAPTER 3 — the story itself","Tap to act",""
"ch3.words.interact","CHAPTER 3 — the story itself","Watch the ritual at the altar",""
"ch3.words.interactTouch","CHAPTER 3 — the story itself","the altar",""
"ch3.words.hotAmulet","CHAPTER 3 — the story itself","E to take the amulet",""
"ch3.words.hotAmuletTouch","CHAPTER 3 — the story itself","Tap to take the amulet",""
"ch3.words.objAmulet","CHAPTER 3 — the story itself","Take the amulet on the auntie's table",""
"ch3.words.objEquip","CHAPTER 3 — the story itself","Open your bag and equip the amulet",""
"ch3.A.text","CHAPTER 3 — the story itself","Stay at the back and watch.",""
"ch3.A.say","CHAPTER 3 — the story itself","You stay at the back and watch it unfold. You've never seen anything like this before.",""
"ch3.A.teach","CHAPTER 3 — the story itself","Observation before interpretation strengthens awareness.",""
"ch3.B.text","CHAPTER 3 — the story itself","Join the trance.",""
"ch3.B.say","CHAPTER 3 — the story itself","You go up with the others. The drum is inside your chest, the air goes thin, and someone takes your arm and walks you out of it.",""
"ch3.B.teach","CHAPTER 3 — the story itself","Participation increases exposure. Do not enter practices you do not yet understand.",""
"ch3.C.text","CHAPTER 3 — the story itself","Ask the auntie what is happening.",""
"ch3.C.say","CHAPTER 3 — the story itself","She does not laugh at you. She tells you what the man is doing, and what he is not. Then she tells you where not to sit.",""
"ch3.C.teach","CHAPTER 3 — the story itself","Questioning respectfully is part of discernment.",""
"ch3.D.text","CHAPTER 3 — the story itself","Leave while you still can.",""
"ch3.D.say","CHAPTER 3 — the story itself","You are out before the drum stops. It is quieter out here, and that turns out to be worse.",""
"ch3.D.teach","CHAPTER 3 — the story itself","Leaving can be appropriate when you lack the knowledge to engage safely.",""
"e2c3.title","EPISODE 2 · CHAPTER 3 — the story itself","The Pressure",""
"e2c3.cardLabel","EPISODE 2 · CHAPTER 3 — the story itself","Chapter 3",""
"e2c3.cardTitle","EPISODE 2 · CHAPTER 3 — the story itself","The Pressure",""
"e2c3.brief","EPISODE 2 · CHAPTER 3 — the story itself","Infantry. The first night of the outfield exercise, in a harbour dug into the jungle. You have the rear scrape, the one facing out into the dark. Nothing to do but wait for morning — so look around.",""
"e2c3.prompt","EPISODE 2 · CHAPTER 3 — the story itself","Something is pressing on your leg. Not a feeling: weight. The torch is on the ground at your feet and there is nothing there. What do you do?",""
"e2c3.core","EPISODE 2 · CHAPTER 3 — the story itself","A feeling is not proof. The weight on your leg is vedanā, a sensation. The fear that follows it is saṅkhāra, the story your mind builds on top. Look for the ordinary first, and do not feed the story.<br><i>Vedanā-khandha · Saṅkhāra-khandha — the feeling, and what the mind makes of it. Do not engage. Do not provoke. Observe.</i>",""
"e2c3.words.approach","EPISODE 2 · CHAPTER 3 — the story itself","the ground at your feet",""
"e2c3.words.act","EPISODE 2 · CHAPTER 3 — the story itself","E to look down",""
"e2c3.words.actTouch","EPISODE 2 · CHAPTER 3 — the story itself","Tap to look down",""
"e2c3.words.interact","EPISODE 2 · CHAPTER 3 — the story itself","E to look down",""
"e2c3.words.interactTouch","EPISODE 2 · CHAPTER 3 — the story itself","Tap to look down",""
"e2c3.words.presence","EPISODE 2 · CHAPTER 3 — the story itself","Something is pressing on your leg.",""
"e2c3.words.objLook","EPISODE 2 · CHAPTER 3 — the story itself","Look around. Shine the torch into the jungle · {n}/6",""
"e2c3.words.objDown","EPISODE 2 · CHAPTER 3 — the story itself","Shine the torch down. On the ground.",""
"e2c3.words.hotSpot","EPISODE 2 · CHAPTER 3 — the story itself","Hold the torch on it",""
"e2c3.words.hotBuddy","EPISODE 2 · CHAPTER 3 — the story itself","Hold the torch on him",""
"e2c3.words.hotFeet","EPISODE 2 · CHAPTER 3 — the story itself","Look down at your boots",""
"e2c3.words.objPick","EPISODE 2 · CHAPTER 3 — the story itself","Pick up the torch on the ground",""
"e2c3.words.objEquip","EPISODE 2 · CHAPTER 3 — the story itself","Picked up Torch. Equip now to use.",""
"e2c3.words.objSwitch","EPISODE 2 · CHAPTER 3 — the story itself","Turn on the torch · press F",""
"e2c3.words.objSwitchTouch","EPISODE 2 · CHAPTER 3 — the story itself","Turn on the torch · tap the torch icon",""
"e2c3.words.hotTorch","EPISODE 2 · CHAPTER 3 — the story itself","E to pick up the torch",""
"e2c3.words.hotTorchTouch","EPISODE 2 · CHAPTER 3 — the story itself","Tap to pick up the torch",""
"e2c3.A.text","EPISODE 2 · CHAPTER 3 — the story itself","Shine the torch on the source of the pressure",""
"e2c3.A.say","EPISODE 2 · CHAPTER 3 — the story itself","I put the light on it before I moved. It ran. Light was the one thing it wouldn't stay for.",""
"e2c3.A.teach","EPISODE 2 · CHAPTER 3 — the story itself","Courage does not require deliberately removing your own safety advantages.",""
"e2c3.B.text","EPISODE 2 · CHAPTER 3 — the story itself","Reach down into the dark",""
"e2c3.B.say","EPISODE 2 · CHAPTER 3 — the story itself","I reached into the dark before I looked. My hand still remembers what moved.",""
"e2c3.B.teach","EPISODE 2 · CHAPTER 3 — the story itself","Making observation harder is not bravery.",""
"e2c3.C.text","EPISODE 2 · CHAPTER 3 — the story itself","Ask your buddy if he felt it",""
"e2c3.C.say","EPISODE 2 · CHAPTER 3 — the story itself","I asked him. He felt nothing. Two of us, one night, two different nights.",""
"e2c3.C.teach","EPISODE 2 · CHAPTER 3 — the story itself","Independent context can narrow possibilities without forcing a conclusion.",""
"e2c3.D.text","EPISODE 2 · CHAPTER 3 — the story itself","""Who's there?""",""
"e2c3.D.say","EPISODE 2 · CHAPTER 3 — the story itself","I called out to it. It stopped the moment I did. I gave it my voice.",""
"e2c3.D.teach","EPISODE 2 · CHAPTER 3 — the story itself","Provocation and investigation are not the same thing.",""
"ch4.title","CHAPTER 4 — the story itself","Back Home",""
"ch4.cardLabel","CHAPTER 4 — the story itself","Chapter 4",""
"ch4.cardTitle","CHAPTER 4 — the story itself","Back Home<br>It Knows Where I Live",""
"ch4.brief","CHAPTER 4 — the story itself","The evening after the tentage. You stayed out all day, and now the sun is down and there is nowhere left to go but home. Ma is working late. The flat is empty, the lights are on, and none of that helps.",""
"ch4.prompt","CHAPTER 4 — the story itself","You know something is following you. What do you do about it, tonight?",""
"ch4.core","CHAPTER 4 — the story itself","A pattern seen clearly is half the answer.<br><i>Yoniso manasikāra — wise attention to how things arise.</i>",""
"ch4.words.approach","CHAPTER 4 — the story itself","The flat is too quiet tonight...",""
"ch4.words.act","CHAPTER 4 — the story itself","E at the dining chair",""
"ch4.words.actTouch","CHAPTER 4 — the story itself","tap the dining chair",""
"ch4.words.interact","CHAPTER 4 — the story itself","Sit down and think it through",""
"ch4.words.interactTouch","CHAPTER 4 — the story itself","the dining chair",""
"ch4.A.text","CHAPTER 4 — the story itself","Connect the dots.",""
"ch4.A.say","CHAPTER 4 — the story itself","You review the sequence. A pattern begins to emerge. The events no longer feel random.",""
"ch4.A.teach","CHAPTER 4 — the story itself","Look for patterns before jumping to conclusions. Context matters.",""
"ch4.B.text","CHAPTER 4 — the story itself","Ignore it and sleep.",""
"ch4.B.say","CHAPTER 4 — the story itself","You convince yourself nothing is wrong and try to sleep. You wake later to the same unsettling atmosphere.",""
"ch4.B.teach","CHAPTER 4 — the story itself","Dismissal is not discernment. Repeated warning signs deserve careful assessment.",""
"ch4.C.text","CHAPTER 4 — the story itself","Provoke the presence.",""
"ch4.C.say","CHAPTER 4 — the story itself","The environment reacts violently. Provocation added danger without giving understanding.",""
"ch4.C.teach","CHAPTER 4 — the story itself","Never provoke what you do not understand merely to prove that it exists.",""
"ch4.D.text","CHAPTER 4 — the story itself","Ask for help again.",""
"ch4.D.say","CHAPTER 4 — the story itself","You stop trying to handle this alone. Help is coming tomorrow. Tonight, mom's voice is enough.",""
"ch4.D.teach","CHAPTER 4 — the story itself","Knowing when to seek qualified guidance is a form of wisdom.",""
"e2c4.title","EPISODE 2 · CHAPTER 4 — the story itself","The Ghost Cyclist",""
"e2c4.cardLabel","EPISODE 2 · CHAPTER 4 — the story itself","Chapter 4",""
"e2c4.cardTitle","EPISODE 2 · CHAPTER 4 — the story itself","The Ghost Cyclist",""
"e2c4.brief","EPISODE 2 · CHAPTER 4 — the story itself","The live range, after dark. Eight lanes, live rounds, and a tower that runs everything. You are on lane six. Nobody fires until the tower says fire, and nobody — nobody — goes forward of the line.",""
"e2c4.prompt","EPISODE 2 · CHAPTER 4 — the story itself","It has stopped, and it is facing the line. The tower says the target area is empty, and everyone on the line can see it. Your rifle is loaded. What do you do?",""
"e2c4.core","EPISODE 2 · CHAPTER 4 — the story itself","Your own experience and somebody else's account are two different things. Not everything needs to be challenged or investigated. Carry on with your duties, keep your mind clear, and stay grounded.",""
"e2c4.words.approach","EPISODE 2 · CHAPTER 4 — the story itself","the target area",""
"e2c4.words.act","EPISODE 2 · CHAPTER 4 — the story itself","E to act",""
"e2c4.words.actTouch","EPISODE 2 · CHAPTER 4 — the story itself","Tap to act",""
"e2c4.words.interact","EPISODE 2 · CHAPTER 4 — the story itself","E to answer it",""
"e2c4.words.interactTouch","EPISODE 2 · CHAPTER 4 — the story itself","Tap to answer it",""
"e2c4.words.actLine","EPISODE 2 · CHAPTER 4 — the story itself","Press E to answer it again",""
"e2c4.words.actLineTouch","EPISODE 2 · CHAPTER 4 — the story itself","Tap to answer it again",""
"e2c4.words.presence","EPISODE 2 · CHAPTER 4 — the story itself","Something is out there.",""
"e2c4.words.presenceWarn","EPISODE 2 · CHAPTER 4 — the story itself","There is nothing you can do about it yet.",""
"e2c4.words.objLine","EPISODE 2 · CHAPTER 4 — the story itself","Move to lane six",""
"e2c4.words.noFire","EPISODE 2 · CHAPTER 4 — the story itself","Shooting only allowed at lane six",""
"e2c4.words.objLoad","EPISODE 2 · CHAPTER 4 — the story itself","Load on the order",""
"e2c4.words.objHold","EPISODE 2 · CHAPTER 4 — the story itself","On the line. Do NOT fire until the tower gives the order.",""
"e2c4.words.objS1","EPISODE 2 · CHAPTER 4 — the story itself","Static target, 100 metres. Fire on the order · {n}/3",""
"e2c4.words.objS3","EPISODE 2 · CHAPTER 4 — the story itself","Moving target, 200 metres · {n}/2",""
"e2c4.words.objCease","EPISODE 2 · CHAPTER 4 — the story itself","Cease fire. Stand fast.",""
"e2c4.words.objStag","EPISODE 2 · CHAPTER 4 — the story itself","Wait on the line. Weapons loaded.",""
"e2c4.words.objConfuse","EPISODE 2 · CHAPTER 4 — the story itself","Hold it in your sight. Do not fire.",""
"e2c4.words.objMoment","EPISODE 2 · CHAPTER 4 — the story itself","It is in the target area. Hold your sight on it.",""
"e2c4.words.hotTrack","EPISODE 2 · CHAPTER 4 — the story itself","Keep it in your sight",""
"e2c4.words.itemMag","EPISODE 2 · CHAPTER 4 — the story itself","MAGAZINE",""
"e2c4.words.itemCock","EPISODE 2 · CHAPTER 4 — the story itself","COCK",""
"e2c4.words.itemSafety","EPISODE 2 · CHAPTER 4 — the story itself","SAFETY",""
"e2c4.words.noteEarly","EPISODE 2 · CHAPTER 4 — the story itself","Fired before the order.",""
"e2c4.words.noteAfterCease","EPISODE 2 · CHAPTER 4 — the story itself","Fired after the cease-fire.",""
"e2c4.words.noteFiredAt","EPISODE 2 · CHAPTER 4 — the story itself","Fired at it.",""
"e2c4.words.noteSerialClean","EPISODE 2 · CHAPTER 4 — the story itself","Shot the ",""
"e2c4.words.noteSerialSome","EPISODE 2 · CHAPTER 4 — the story itself","Put rounds on the ",""
"e2c4.words.noteLoad","EPISODE 2 · CHAPTER 4 — the story itself","Loaded on the order, in order.",""
"e2c4.words.noteTrack","EPISODE 2 · CHAPTER 4 — the story itself","Held it in your sight. Kept your lane.",""
"e2c4.words.loadBrief","EPISODE 2 · CHAPTER 4 — the story itself","LOAD ON THE ORDER",""
"e2c4.words.loadBody","EPISODE 2 · CHAPTER 4 — the story itself","Magazine on. Cock. Safety catch on. TAP (or SPACE) as each bar reaches the band. Early counts against you.",""
"e2c4.words.loadGo","EPISODE 2 · CHAPTER 4 — the story itself","READY",""
"e2c4.A.text","EPISODE 2 · CHAPTER 4 — the story itself","Keep your arc. Report it. Carry on.",""
"e2c4.A.say","EPISODE 2 · CHAPTER 4 — the story itself","I kept my lane. I said what I saw, in the proper words, and then I carried on.",""
"e2c4.A.teach","EPISODE 2 · CHAPTER 4 — the story itself","Carry on with your duties, keep your mind clear, stay grounded.",""
"e2c4.B.text","EPISODE 2 · CHAPTER 4 — the story itself","Put the torch on it and go closer",""
"e2c4.B.say","EPISODE 2 · CHAPTER 4 — the story itself","I went out to look. The ground was empty, and the sound came from behind me.",""
"e2c4.B.teach","EPISODE 2 · CHAPTER 4 — the story itself","Not everything needs to be challenged or investigated.",""
"e2c4.C.text","EPISODE 2 · CHAPTER 4 — the story itself","Fire at it until it stops coming",""
"e2c4.C.say","EPISODE 2 · CHAPTER 4 — the story itself","I put a whole magazine into it. Every round brought it closer.",""
"e2c4.C.teach","EPISODE 2 · CHAPTER 4 — the story itself","Do not engage, do not provoke, and do not feed your own fear.",""
"e2c4.D.text","EPISODE 2 · CHAPTER 4 — the story itself","Get up and run",""
"e2c4.D.say","EPISODE 2 · CHAPTER 4 — the story itself","I ran. Five other men ran with me. Nobody looked back down the range.",""
"e2c4.D.teach","EPISODE 2 · CHAPTER 4 — the story itself","Your own experience and somebody else's account are two different things.",""
"ch5.title","CHAPTER 5 — the story itself","The Lesson",""
"ch5.cardLabel","CHAPTER 5 — the story itself","Chapter 5",""
"ch5.cardTitle","CHAPTER 5 — the story itself","The Lesson<br>What It Was All For",""
"ch5.brief","CHAPTER 5 — the story itself","Morning. Ma is home, the tea is poured, and the tang-ki from the tentage is standing in the living room reading the flat like a letter. On the table: the hell note. It was here all along.",""
"ch5.prompt","CHAPTER 5 — the story itself","The tang-ki has read every room, and the hellnote lies on the table. What do you ask of him?",""
"ch5.core","CHAPTER 5 — the story itself","Do not dismiss. Do not provoke. Observe, and seek knowledge before acting.<br><i>The first case is closed. The lesson is yours to keep.</i>",""
"ch5.words.approach","CHAPTER 5 — the story itself","He walks the flat like he is reading it...",""
"ch5.words.act","CHAPTER 5 — the story itself","E — speak to the tang-ki",""
"ch5.words.actTouch","CHAPTER 5 — the story itself","tap the tang-ki",""
"ch5.words.interact","CHAPTER 5 — the story itself","Ask him what he saw",""
"ch5.words.interactTouch","CHAPTER 5 — the story itself","the tang-ki",""
"ch5.A.text","CHAPTER 5 — the story itself","Seek his guidance.",""
"ch5.A.say","CHAPTER 5 — the story itself","You sit down with him and ask what you should learn from everything that happened. Fear has given way to wisdom.",""
"ch5.A.teach","CHAPTER 5 — the story itself","Do not assume. Do not provoke. Observe, understand the situation and seek guidance before acting.",""
"ch5.B.text","CHAPTER 5 — the story itself","Ignore him and trust your fear alone.",""
"ch5.B.say","CHAPTER 5 — the story itself","Fear begins filling in the missing information before you verify what is actually there.",""
"ch5.B.teach","CHAPTER 5 — the story itself","Always verify before deciding what something means.",""
"ch5.C.text","CHAPTER 5 — the story itself","Dismiss everything.",""
"ch5.C.say","CHAPTER 5 — the story itself","You decide it must have been imagination and refuse to examine further. You lose what it was trying to teach.",""
"ch5.C.teach","CHAPTER 5 — the story itself","Blind disbelief can be as unhelpful as blind belief. Discernment requires real observation and an open mind.",""
"ch5.D.text","CHAPTER 5 — the story itself","Ask him to settle the presence.",""
"ch5.D.say","CHAPTER 5 — the story itself","You accept that you do not understand everything yet, and commit to learning without recklessness. The note is returned to the fire. The case becomes your first lesson.",""
"ch5.D.teach","CHAPTER 5 — the story itself","Wisdom grows when experience is combined with humility, observation and proper guidance.",""
"e2c5.title","EPISODE 2 · CHAPTER 5 — the story itself","The Last Question",""
"e2c5.cardLabel","EPISODE 2 · CHAPTER 5 — the story itself","Chapter 5",""
"e2c5.cardTitle","EPISODE 2 · CHAPTER 5 — the story itself","The Last Question",""
"e2c5.brief","EPISODE 2 · CHAPTER 5 — the story itself","Days from ORD, at your infantry camp. Clear your kit — the armskote, the stores, the company office — and then walk over to the man across the apron you have not seen since Tekong.",""
"e2c5.prompt","EPISODE 2 · CHAPTER 5 — the story itself","He has brought the three o'clock shower up himself, and he is waiting for an answer.",""
"e2c5.core","EPISODE 2 · CHAPTER 5 — the story itself","The departed stay where their attachments are. So do the living. He was held by a shower in a bunk; you were held by a question — and what let you go was that you stopped holding on.",""
"e2c5.words.approach","EPISODE 2 · CHAPTER 5 — the story itself","",""
"e2c5.words.act","EPISODE 2 · CHAPTER 5 — the story itself","E to act",""
"e2c5.words.actTouch","EPISODE 2 · CHAPTER 5 — the story itself","Tap to act",""
"e2c5.words.interact","EPISODE 2 · CHAPTER 5 — the story itself","E to speak to the encik",""
"e2c5.words.interactTouch","EPISODE 2 · CHAPTER 5 — the story itself","Tap to speak to the encik",""
"e2c5.words.objClear","EPISODE 2 · CHAPTER 5 — the story itself","Clear your kit · {n}/3",""
"e2c5.words.objEncik","EPISODE 2 · CHAPTER 5 — the story itself","Speak to the encik",""
"e2c5.words.hotArms","EPISODE 2 · CHAPTER 5 — the story itself","Hand in your rifle",""
"e2c5.words.hotStores","EPISODE 2 · CHAPTER 5 — the story itself","Hand in your torch",""
"e2c5.words.hotOffice","EPISODE 2 · CHAPTER 5 — the story itself","Sign your clearance form",""
"e2c5.A.text","EPISODE 2 · CHAPTER 5 — the story itself","""Who was it, encik? What was his story?""",""
"e2c5.A.say","EPISODE 2 · CHAPTER 5 — the story itself","I asked who he was. Encik told me, and then told me to leave it there.",""
"e2c5.A.teach","EPISODE 2 · CHAPTER 5 — the story itself","A story can be received as a teaching or collected as a lead. Take the lesson; leave the rest where it is.",""
"e2c5.B.text","EPISODE 2 · CHAPTER 5 — the story itself","""I don't think about it anymore, encik.""",""
"e2c5.B.say","EPISODE 2 · CHAPTER 5 — the story itself","I had already let it go. He only confirmed I was right to.",""
"e2c5.B.teach","EPISODE 2 · CHAPTER 5 — the story itself","Attention is the connection. Stop giving a thing yours, and it stops giving you its.",""
"e2c5.C.text","EPISODE 2 · CHAPTER 5 — the story itself","""I think I was just too stressed.""",""
"e2c5.C.say","EPISODE 2 · CHAPTER 5 — the story itself","I called it stress. He wouldn't let me.",""
"e2c5.C.teach","EPISODE 2 · CHAPTER 5 — the story itself","An ordinary explanation you do not believe is not scepticism. It is a lid.",""
"e2c5.D.text","EPISODE 2 · CHAPTER 5 — the story itself","""Why didn't you tell me then, encik?""",""
"e2c5.D.say","EPISODE 2 · CHAPTER 5 — the story itself","I wanted a reason I was owed. He gave me one. It didn't help.",""
"e2c5.D.teach","EPISODE 2 · CHAPTER 5 — the story itself","Somebody else's account is not your experience, and being owed one is not the same as needing one.",""
"","VOICE LINES — every spoken take, every speaker","Edit the TEXT column; a changed line is regenerated in that speaker's voice","Length of the current take"
"voice.vpro1","Chapter 1 · The Hell Note — James (the player): Opening film, over black, before the first memory","Ever since I was young, I loved picking things up from the ground.","4.47 s"
"voice.vpro2","Chapter 1 · The Hell Note — James (the player): Opening film, the leaf on the grass","Sometimes it was just random leaves that I found interesting.","4.05 s"
"voice.vpro3","Chapter 1 · The Hell Note — James (the player): Opening film, the toy on the stairwell landing","Sometimes I found thrown-away toys that I liked, when nobody else did.","5.56 s"
"voice.vpro4","Chapter 1 · The Hell Note — James (the player): Opening film, the note by the drain","And if I'm lucky... sometimes I find money.","3.00 s"
"voice.vpro5","Chapter 1 · The Hell Note — James (the player): Opening film, over black, before the void deck at night","This time however... this time was different.","3.47 s"
"voice.vpick1","Chapter 1 · The Hell Note — James (the player): Opening film, as he picks up the leaf","Ooh! Nice.","1.96 s"
"voice.vpick2","Chapter 1 · The Hell Note — James (the player): Opening film, as he picks up the bear","Oh! Hello there.","1.80 s"
"voice.vpick3","Chapter 1 · The Hell Note — James (the player): Opening film, as he finds the five-dollar note","Wah! Five dollars!","1.65 s"
"voice.voice","Chapter 1 · The Hell Note — James (the player): A few seconds after chapter 1 begins","Almost midnight... and this is the only way home.","3.97 s · Its own file (assets/voice.mp3), not in the sound pack."
"voice.vpile","Chapter 1 · The Hell Note — James (the player): The first time you come near the burner","Someone's been burning offerings. [beat] Is it Seventh Month already?","4.44 s"
"voice.vnote","Chapter 1 · The Hell Note — James (the player): The first time the note prompt appears","There's one right at my feet. Like it was left for me.","4.28 s"
"voice.vgasp","Chapter 1 · The Hell Note — James (the player): Scene A, when he looks up and she is there; also chapter 2 scene A","[a sharp, frightened inhale] Oh my God.","1.65 s · Meant as a wordless gasp; the take also says the words (found by transcription at v5.14, as vrelief's were at v4.8)."
"voice.vscoff","Chapter 1 · The Hell Note — James (the player): Scene B, on the kick","[a short, dismissive laugh] It's just paper.","2.04 s · Meant as a wordless scoff; the take also says the words (found by transcription at v5.14)."
"voice.vpant","Chapter 1 · The Hell Note — James (the player): Scene B, under the run; also chapter 3 scene B","[running out of breath] No, no, no, no, no.","2.04 s · Meant as wordless panting; the take also says the words (found by transcription at v5.14)."
"voice.vrelief","Chapter 1 · The Hell Note — James (the player): Scene C, after he walks away; also chapter 2 scenes B and D, chapter 3 scene D, chapter 4 scene D","[a quiet, shaken exhale — no words]","2.77 s · Wordless since v4.8 (the first take turned out to say 'Just keep walking. Don't look back')."
"voice.vchantline","Chapter 1 · The Hell Note — James (the player): Not used","Namo tassa bhagavato arahato sammāsambuddhassa. I'm sorry. I'll go.","8.36 s · Retired at v3.7's cutscene pass; the file is still in the shared pack. Transcribed from the shipped take at v5.14."
"voice.vA","Chapter 1 · The Hell Note — James (the player): Under the outcome card after choice A — “Pick it up. It is only paper.”","It's just paper. [beat] So why does my hand feel like it's holding something heavier?","5.15 s"
"voice.vB","Chapter 1 · The Hell Note — James (the player): Under the outcome card after choice B — “Kick it and laugh. Superstition is for other people.”","[panting] I shouldn't have done that. I knew it the second my foot touched it.","4.36 s"
"voice.vC","Chapter 1 · The Hell Note — James (the player): Under the outcome card after choice C — “Stop and look around before walking away.”","Look first. That's all it takes. Just... look first.","5.07 s"
"voice.vD","Chapter 1 · The Hell Note — James (the player): Under the outcome card after choice D — “Recite a chant, then respectfully excuse yourself.”","Not my offering. Not my business. [exhale] Rest well, whoever you are.","8.05 s"
"voice.vghost","Chapters 1 and 2 · the haunting — James (the player): The first time she is seen","Am I... seeing things?","2.27 s · Whispered."
"voice.vscare1","Chapters 1 and 2 · the haunting — James (the player): Each time she reappears — the four scares take turns","Ahh!","0.91 s"
"voice.vscare2","Chapters 1 and 2 · the haunting — James (the player): Each time she reappears — the four scares take turns","No no no","1.23 s"
"voice.vscare3","Chapters 1 and 2 · the haunting — James (the player): Each time she reappears — the four scares take turns","Who's there?!","1.49 s"
